SLA3480	Mom loved that necklace she never wore outside the house
SLA2317	Make my day.  Visit the San Diego Zoo
SLA0922	city colours, Daniel Hechter and Fairweather
SLA0669	Our cup runneth over
SLB6069	Untitled Presentation
SLA1994	Anne Cole at Robinson's
SLB4114	Untitled presentation
SLM0404	Gestelith Offset Duplicator
SLA0657	Ahh...Big Bear Lake.  Above it all.
SLA0843	Sapporo and Obsession with Perfection
SLB5547	Untitled Presentation
SLB4099	Untitled presentation
SLM0264	Untitled
SLA2481	HuggaMuggaMax
SLA2234	United colors of Benetton
SLB3942-SLB3947	Untitled presentation
SLA2048	At People Express Prices, You'll Have Carolina on Your Mind
SLA3329	We pour on the Color.
SLE0064	Untitled
SLA3390	Holy Guacamole
SLB5110	Untitled Presentation
SLA1851	A giant step.  Future home of Dallas Rehabilitation Institute.
SLA3748	Explore a world of cool
SLB5572	Untitled Presentation
SLA0409	$8,000,000,000 life insurance in force
SLA0538	Ponderosa vs. McDonald's
SLA3624	Palm Springs,  Float on air for 2 hours
SLA0501	Button Up! It's winter carnival time
SLA1966	Turn right next exit
SLA3079	Seven Oaks restaurant, downtown Greenville
SLA0470	Sharpen Your Skills
SLA1406	Marlboro
SLM0256	Olivetti 84
SLA1424	Shake, Rattle and Roll
SLA0002	In Tacoma...9 out of 10 shop the News Tribune first
SLA1830	Ride with the Duke
SLA0315	First Class...Yarbrough
SLA3418	Look. Most nonstops to Boston
SLA2326	From Wags to Witches
SLB0459-SLB0492	Unidentified Slide Presentation
SLA2365	Gund at Robinson's
SLA2818	The wait is almost over
SLA1095	Schweigert
SLA1435	RELAX:  Fly Delta to Florida-the Bahamas
SLM0016	Foire Internationale Bordeaux
SLA0044	You'll flip at the zzzip...in RC
SLA3687	Utah's favorite color of insurance
SLA2423	Dream in color...Jamaica
SLB6086-SLB6087	Untitled Presentation
SLA1672	Yum!
SLA3845	Two of a Kind
SLA0502	For a good time call 631-1500
SLM0589	die kun je In je zak steken
SLB6070-SLB6071	Untitled Presentation
SLA3588	Keep the Torch Lit
SLE0104	Untitled
SLM0461	Festival Mondial de Musique Contemporaine
SLA0310	Dodgeland...world's largest auto dealer
SLA1609	Saab, Qua Imports
SLA0040	Falconbridge for nickel
SLA1890	Gas is the natural choice.
SLM0505	Ciszej - Halas Niszczy Zdrowie
SLA2278	But things are slowing down instead
SLA2923	Every day someone needs us. We need you
SLA3011	I feel great.  I've got a Cigna Healthplan
SLM0296	Winter und Bischoff
SLA0397	Smart money. At the end of the nearest rainbow
SLA0401	In today's financial climate, here's an encouraging sign
SLB4089	Untitled presentation
SLA3173	Power breakfast
SLA0390	Sitterle Homes built without compromise
SLA1379	See 20/20 in 60 minutes
SLA0593	Steak it out Cliff Hagan's New Menu
SLA2803	We're really on a roll
SLA0931	The Choice of a new generation
SLB5452	Untitled Presentation
SLA0341	Switch and see. C&C
SLB3915-SLB3928	Untitled presentation
SLA1669	Buy an Appel with appeal!
SLA2061	Fly Delta   Florida-Nassau-San Juan
SLA1741	Our Big Mack
SLA3875	Village Computers, The Professioanl apple computer dealer!
SLA3766	Give to the lady
SLA3257	One stop shopping next exit
SLA2470	Official route
SLA0270	Go where the new-car buyers are
SLA3287	Have a fruitful holiday.
SLM0464	Zoo Anvers Belgique
SLA3157	Stop stalling! Get a Caltrain commute
SLB6074	Untitled Presentation
SLA1876	St. Luke's. When there's no time to spare.
SLB5325	Untitled Presentation
SLA0608	Brings Paris to the Plaza
SLA2387	Ombre Rose at Robinson's
SLA3905	Benson and Hedges Menthol
SLA2027	Light my Lucky
SLA2859	K101, You summertime favorite
SLA2034	New! More Lights 100's
SLB5317	Untitled Presentation
SLA2836	The new little Litton Moffat Microwave, Actual Size
SLA1978	Open For Take-Out
SLA3955	Snap up our new checks.  Crocker Scenic Checks
SLA3906	L.A. welcomes the world in 1984.
SLA2520	Ask a question at an intersection
SLB5509-SLB5511	Untitled Presentation
SLA0628	Export A...A taste for adventure
SLM0384	Ballett
SLA2613	Automotive & Accessories-Dealers
SLB0043-SLB0048	Unidentified Slide Presentation
SLA3105	Untitled
SLB4468	Untitled presentation
SLA2425	Hardees mushroom n' swiss burger
SLA0967	Taste the difference
SLM0220	c'est le vin de Paris!
SLA1071	Revolutionaries
SLA2308	PenSupreme grocerette open 24 hours
SLM0100	F.H. Ernst Schneidler. Gesamtwerk. Im Klingspor-Museum
SLA2976	We won't keep you from seeing your doctor
SLA3174	On the hour.    On the house
SLB5441	Untitled Presentation
SLM0026	lesen zum thema, ''Friede, Friede!'' und ist doch kein Friede.
SLA2189	Guess? at Robinson's
SLA3951	St. Martin at Robinsons
SLB5844-SLB5849	Untitled Presentation
SLA3518	We give new ideas a place to grow
SLA2420	First Fidelity Bank
SLA1843	Outward Bound
SLA3797	We make you look good! Brown photo
SLA3302	After fighting traffic day after day, you need a pick-me-up.
SLB5834-SLB5839	Untitled Presentation
SLB4198	Untitled presentation
SLB5706-SLB5707	Untitled Presentation
SLB5652	Untitled Presentation
SLA0272	V-V-Volkswagen announces air conditioning
SLA2868	Escape from the zoo
SLB4059	Untitled presentation
SLA3751	Without electricity you'd use a lot more energy
SLA1827	Georgia Council for the Arts
SLA1485	It'll turn into cash 24 hours a day
SLM0418	Fueter
SLA1280	Lotto, New iNstnat Game on Sale
SLB5727	Untitled Presentation
SLA0708	Tickle your chops.
SLA0443	Hello.  Good Buy
SLB4192	Untitled presentation
SLM0597	Winter Sport in the Grisons Switzerland
SLA2834	Ole's the biggest name in savings
SLA0312	Fly a real deal
SLA0868	Only One
SLA3015	Winter warmup-is your furnace ready?
SLM0346	Dubrovnik Putnik Dubrovnik Jugoslavia
SLA0338	One tough son of a boot
SLA3644	How Can You Top It?
SLA0535	Two scoops are better than one
SLA1512	Western Airlines to Utah.  The only way to fly.
SLA0709	Hot Little Number $5,795
SLA0981	A living masterpiece in the creative center of the city
SLB4596-SLB4597	Untitled presentation
SLA1604	Mercedes Benz widens the gap.  100th Anniversary
SLB5282-SLB5283	Untitled Presentation
SLA3413	Look. Only nonstops to Phoenix
SLA0461	Philadelphia Makes a Right Turn at 7
SLA3829	To the Far East Far Easier.
SLB4598-SLB4599	Untitled presentation
SLA1478	When your good name is on the line
SLA0752	The Plane, The Plane! The Spruce Goose, next to the Queen Mary
SLM0236	collectie guépin
SLA0682	Noel ... no comment
SLA3908	A Time for Action, Los Alamitos
SLA3365	Share the happiness!
SLA3772	School daze. Learn how to say no to drugs.
SLB4284-SLB4285	Untitled presentation
SLA0774	Flairizona, Arizona, An hour from now
SLA0641	The fast way to commute
SLA0288	Two great styles
SLA1841	12-7-85 Hike
SLA3273	Escada Collection...Cedrics
SLA3101	Niners 74 KCBS
SLE0121	Untitled
SLM0406	Pepita Grapefruit
SLA1962	A Chorus Line
SLB4550	Untitled presentation
SLB5570	Untitled Presentation
SLB3869-SLB3875	Untitled presentation
SLA0345	Louisville is Schwepping it up
SLA2829	Ole's the biggest name in savings
SLB4202	Untitled presentation
SLB4402-SLB4412	Untitled presentation
SLA3387	Running these appliances would cost 43% more in Detroit
SLM0487	Clos du
SLA1014	Manhattan Village, Southern California's most successful new community
SLB4182	Untitled presentation
SLM0535	Untitled
SLA3104	Capri the adventure continues
SLA3467	Who knows when you'll need momentum
SLA2643	The great unknown
SLA2996	SouthFlite is coming
SLA2516	Call the chief from a cloverleaf
SLB6085	Untitled Presentation
SLA1132	KSHE 95, It's still fun to rock and roll
SLA2661	Isotoner pantyhose
SLA1269	Risky Business, HBO
SLM0448	La Mostra Dei Designers Italiani Contemporanei
SLA3372	San Diegos Most Popular Watering Hole
SLB6119	Untitled Presentation
SLA2146	Pontiac Sunbird GT
SLB6018	Untitled Presentation
SLA0688	At least he's taken his Haliborange.
SLA2141	le Teleroman au Club Med
SLM0408	les Bordeaux réjouissent l'estomac et respectent la tête
SLM0466	Untitled
SLB3732-SLB3749	Untitled presentation
SLA3876	Quality audio and video JVC
SLA1888	Natural Gas Efficient and Economical
SLA0989	Single Family homes.. from the low '80s, Williamsburg Village
SLA0938	Tootsie HBO
SLB5260	Untitled Presentation
SLA3309	Strickland's
SLA3230	Foreign ads
SLA3193	We've doubled the size of our rooms
SLM0308	Summertime Pleasures by Underground
SLA1002	ZAPP, time for a home improvement loan
SLA2777	Real Estate's Heavy Hitter
SLA0374	New Ford Tempo
SLA0440	Tak the L out of Love and its over.  Country songs tell a story on KLIF
SLA2596	There's no japanese translation
SLA0495	Buy American.  Because you are one.
SLA0781	Want faster banking service? It's just about time to, Get pushy.
SLA2055	Direct to Pittsburgh
SLA0570	Camp Snoopy
SLA0762	Arrival of the fittest
SLA3004	The closer he gets, the better we look
SLM0496	Ovomaltine
SLA0429	The Mavericks are on HSE only on cable
SLA0394	Trade your broker for a Florida National Banker
SLB4199	Untitled presentation
SLA1549	Other Beers are Brown with Envy
SLA2051	We'll carry you back to Old Virginny
SLA0060	Fly Mohawk
SLA3382	Good news travels. Fast.
SLB3563-SLB3596	Untitled presentation
SLA0627	MacDonald Select...the name says it all
SLE0019	Untitled
SLA1416	Workaholic Treatment Center
SLA2010	by design
SLA0907	Naturally, J.D. Dawson and Co.
SLE0030	Untitled
SLA3466	Who knows when you'll need momentum
SLA3175	My other car is an Avis...Cadillac $45
SLA1204	Weather 120 times a day. KTRH New Newsradio 740 AM
SLB4973	Untitled Presentation
SLA1964	Twice As Much Fun
SLA1332	Our Homemade Soups Will Bowl You Over
SLM0433	Kampf dem Hunger
SLA2610	You can make it to vickers
SLA3970	Build a Better Life.  Lumber City
SLM0004	partout en belgique avec les abonnements
SLA3571	Build your dream house in Lumber City
SLA2442	More music, less talk.
SLA1658	Down with Savings, Down LIte
SLA2368	Godiva at Robinson's
SLM0274	Bridlington
SLM0029	Untitled
SLB6030	Untitled Presentation
SLA2743	Speed! 56 Locations. Mint24
SLA2903	Local Color.
SLB5705	Untitled Presentation
SLA2831	Ole's the biggest name in savings
SLA2467	Who knows when you'll need momentum
SLA2160	Rekindle an old flame
SLA2479	Set your imagination free. Say si.
SLA0471	Untitled
SLE0010	Love the Quality
SLA0791	Corvette, Chevrolet, Most advanced production car on the planet
SLM0146	East Coast Resorts
SLA3380	Good news travels. Fast.
SLA0666	Boeing is a Prime example
SLA1948	From Wizards to Oz.
SLA1613	Booth W240.  A sight for sore eyes
SLA2671	A clothing concept....organically grown
SLA3035	Sony Video 8 presents moving snapshots
SLM0059	Untitled
SLM0585	''Ingenting kan ersätta naturgödsel''
SLA0336	The shape of comfort to come
SLA1129	WMJI MAJIC 108.7, Favorites of yesterday and today
SLA0833	The Best of the Rockies is Yours
SLA2862	97 FM KMEO
SLM0142	The gardens of the Parks...
SLB4012	Untitled presentation
SLA0691	The New Citroen BX. Loves Driving Hates Garages.
SLA2513	Make plans in a traffic jam
SLA1834	Call before your crisis becomes his
SLA0824F	We do spicy crispy chicken right
SLA1164	33, Tuned into you
SLA2940	''Artist's eyes are speakers''
SLA1092	Freihofer, The Good Taste Bakers
SLM0132	Up-River Excursions
SLA0637	The world is going our way
SLA1793	92 Pro FM
SLA3492	Winnemucca. Free Admission!
SLA1797	A great city deserves a great newspaper.
SLA0759	Room and board money
SLE0090	Untitled
SLA0422	Enjoy melodyicers
SLA2509	Make plans from your sedan.
SLA2248	Lumber to go!  Lowe's
SLA2695	Co-Op Advertising
SLA1110	Think thin
SLA1097	Ragin' Cravin
SLA2532	Improve your body. Bethlehem EG Steel
SLA1701	Rush hour at Inverness
SLA1673	Factory Fresh
SLA1168	She feels like a new man tonight, Country Songs Tell A Story on KLIF 1190
SLA0311	Toyota Wonderwagon...A new way to move you
SLA0829	We encourage moderation. Especially in prices
SLB5486	Untitled Presentation
SLM0286	Untitled
SLB5906-SLB5908	Untitled Presentation
SLA2820	Low prices are here!
SLA3721	Putt-Putt Golf and Games
SLA1504	Frites a la Windsor
SLA0727	I'm at my peak with Evian waater from the French Alps, Evian
SLA0012	Monster Values!
SLA2545G	J'M
SLA2046	7 Daily Non Stops
SLA2127	Inner City Living
SLB5514	Untitled Presentation
SLA3038	Kodak pours on the color
SLM0039	Nagrodzony Na Mff W Wenecji
SLA1104	Pack a picnic crunch
SLM0417	Exhibition of French Art of the 18th Century
SLA3575	KLZZ FM Radio Station, KLZZ FM Radio Station, KLZZ FM Radio Station (3 advertisements)
SLA1657	Nominated for Best Picture in One Hour
SLA0421	The Dairy Best.
SLB6044-SLB6045	Untitled Presentation
SLM0183	Pepita grapefruit
SLA1398	when you don't have to compromise
SLA3259	Colour by Alexander Julian at Hudson Belk
SLB5144	Untitled Presentation
SLM0600	Mlady Cassidy
SLA2499	Lend an ear in second gear.
SLB1521-SLB1579	Cole Creative Presentation
SLM0374	The Open Road
SLA3416	Look. Nonstops to Europe
SLA0371	Stop wishing.  Fiero is here
SLA3489	What's a Winnemucca?
SLA1665	Bob's Store's, Timberland Boots
SLB4589	Untitled presentation
SLA3864	Never duplicated. Genesee
SLA2258	Health nuts
SLA0547	Lotto.  It's a whole new ball game
SLA0738	Crammed for space? ''You gotta see General Homes''
SLA3154	Rate's great.  Less billing.
SLB2585-SLB2714	Media Insurance
SLA0415	We fit the occasion
SLA3794	Fuji Film, Get the True Picture
SLA3786	Noxzema, Cool the Burn Fast
SLB5953-SLB5955	Untitled Presentation
SLA0971	We're building your place at Pointe Vedra Beach, Las Mirandas
SLA1160	ABC News Nightline, WSAV-TV 3
SLM0486	Margriet
SLA3881	Las Vegas Imperial Palace casinos
SLA2437	Legal Tender
SLA3148	Come to Marlboro Country
SLB5253	Untitled Presentation
SLA1159	WW AM 1450, Talk of Savannah
SLB5061	Untitled Presentation
SLA1385	Got a nose for bargains? Shop at Zayre
SLA2907	Tuscon Citizen, Tuscon's Daily Newspaper
SLA1313	San Diego Zoo
SLA3873	Kanki, Japanese House of Steaks
SLB4377	Untitled presentation
SLA1112	Redined, Rockford Standard Furniture
SLA1925	I Say, I Say, Haul On In!
SLB4529	Untitled presentation
SLA1236	Toledo Area Private Industry Council Working For You
SLA3130	Cloak and Dagger
SLA2799	Anything goes with eggs
SLA1064	Thunderbird
SLA2376	Carol Little at Robinson's
SLM0104	Underground or Bus to St. Paul's
SLA1436	New!  Delta Non-stops to Dallas/Ft. Worth
SLM0192	Offentliche Konzerte
SLB4626-SLB4633	Untitled presentation
SLA2282	If you'll remember what we say
SLA1266	The Big Chill, HBO
SLA0038	Get the scoop on Hi-Saff
SLB5479	Untitled Presentation
SLB5585	Untitled Presentation
SLB6047	Untitled Presentation
SLA0658	The most honorable $65 room in San Francisco
SLA0174	Hawaii, Philippines, Australia, Taiwan, Hong Kong, Singapore
SLA0519	Baltimore's Angel of the morning
SLA3210	Hotel St. Regis.  Truly European
SLM0323	Untitled
SLB4508-SLB4510	Untitled presentation
SLM0155	Ireland for holidays
SLA2920	The City of Los Angeles Marathon
SLA0011	Low cost boat loans
SLA1685	Baltimore Federal Financial, ... over a century of service
SLA1292	Rock n Roll Revivals
SLA3208	It's Your Choice.   PVTA...winterproof
SLA2553	Liquor, Beer & Wine
SLA0275	We rent money
SLA3454	When you took your first steps, you needed shoes
SLB6042	Untitled Presentation
SLA3000	Precious possessions deserve the finest care
SLA3465	Who knows when you'll need momentum
SLA1931	Play the only game out of town.
SLA1530	Tip your hat to top quality seed!
SLA2486	See Hollywood for 99 cents.
SLM0562	Arbeitsgemeinschaft Kunsthandwerk Bremen
SLA1871	Parent and Adolescent Together Again.
SLB5198	Untitled Presentation
SLA1900	Keeping the spirit strong.
SLA1000	ZAPP, you've got all night banking
SLB4006	Untitled presentation
SLA2421	First Fidelity Bank
SLA2145	Cavalier  The Price is Light.
SLB5887	Untitled Presentation
SLA1409	Enjoy the good taste of Rothman's King Size
SLA0729	Reach your peak with Evian water from the French alps, Evian
SLA1755	Winter Warrior
SLA1766	E-Z does it!
SLA3799	Proven. Wells Fargo People
SLA0848	New Maxima SE Performance Sedan
SLA3391	Coca-Cola, Red - White - & You
SLB4572	Untitled presentation
SLA0483	Best little four year college in town.
SLB5502	Untitled Presentation
SLA3486	Winnemucca open all the time
SLB5252	Untitled Presentation
SLA1198	CFRB 1010, So much more than just the score
SLA3176	We give our hometown the best care in the air
SLA1811	WFTS-TV 29, Your turn for a change
SLA2644	Fight street grime
SLB4010	Untitled presentation
SLA0612	Dale Alan has the best prices on LeBaron menswear
SLA1695	Coming in First. First Banks
SLA2110	Be On The Lookout for Bears
SLB5664	Untitled Presentation
SLA3882	Chevrolet, New Sprint. It loves to run.
SLA0648	Hi-Yo Silver!
SLA2822	Build a better life in Lumber City
SLB4588	Untitled presentation
SLA3209	Martin Travel
SLA0559	The world's greatest zoo is right under your nose
SLB5719	Untitled Presentation
SLA1329	Grab Some Seafood at the Loft
SLA0731	Mark Singleton presents Mitsubishi Starion
SLA0340	Coke is it!
SLA1780	Listen to the magic of WCBM 68
SLA0996	Untitled
SLA3469	''With a little momentum, you'd remember me'' - Millard Fillmore
SLA2400	Remember...Club Med
SLA3957	Best seller
SLB5230	Untitled Presentation
SLA2938	'' Obesession'' Liisa Phillips
SLB5543	Untitled Presentation
SLM0427	Pharma 68
SLA1020	The prices are beautiful, too.  Centennial Homes
SLA2294	Fresh Ham & Cheese
SLA0812	It's just lite
SLB4564	Untitled presentation
SLA3608	The Bug Stops Here!
SLA1710	Give us a ring. Missouri
SLA1707	Encino Park
SLB5459	Untitled Presentation
SLA0183	That settles it.
SLA1564	Chevrolet , Fit and trim. Cavalier.
SLM0542	Untitled
SLA1584	More Texans lean on Chevy trucks.
SLM0310	Abteilung: W. Weizennahrung, Preysing Bank
SLB5909	Untitled Presentation
SLB5288	Untitled Presentation
SLA1073	Revolutionaries
SLA1022	Surf and Turf, Pasadena Yacht and Country Club. Gourmet living.
SLA1484	Take a deep breath, Victoria
SLB4569	Untitled presentation
SLA1451	''Meet me in Denver, Rocky.''
SLA1348	King Crab is Back
SLA2386	Calvin Klein Sport at Robinson's
SLB3750-SLB3777	Untitled presentation
SLA1169	A woman a day keeps my man away, Country Songs Tell A Story on KLIF 1190
SLB4305	Untitled presentation
SLB5596	Untitled Presentation
SLA3108	Avoid the rush.  Call now for Eagles tickets
SLA1321	Dine Out at Home
SLB3483	Woodrow Wilson Works for Turner (Turner)
SLA3107	A celebration in the air
SLB4270-SLB4271	Untitled presentation
SLB3859-SLB3860	Untitled presentation
SLA2734	Still the best loans for horseless carriages
SLB5277	Untitled Presentation
SLA3885	Nonstop first-class service. Sheraton Plaza La Reina Hotels
SLB3930-SLB3934	Untitled presentation
SLA0955	Piazza Lowfat Ricotta 95% Fat Free, 100% Delicious
SLB4139	Untitled presentation
SLA0423	melodysserts
SLA3835	Where the Summer Games Really Begin
SLA1525	No Swat
SLA0846	Change for the better
SLA3847	JVC quality audio and video
SLA1822	We like your style Atlanta
SLA1113	Thompson's... Because there's nobody like you
SLA2741	Untitled
SLA2898	More action than a singles bar on Saturday night
SLA1753	Tatung, Rotten movie. But what a picture!
SLA1749	Beacuse summer fresher. Good things grow in Ontario.
SLA3137	Building.  Tampa Bay Buccaneers
SLA3974	Come ride with us.
SLA3788	Fry Now. Pay later.
SLA0885	New dodge mini ram van
SLA1943	Season Pass
SLA1945	Six Therapy
SLB5694	Untitled Presentation
SLA3279K	Feels so good comin' down!
SLA1574	Tireless, Pirelli
SLA3054	Giggle
SLA3668	Colorful 56-WHBQ
SLA3281	Sports!  Interesting isn't it?   Daily News
SLA1524	Anything Goes With Eggs
SLB5389-SLB5390	Untitled Presentation
SLA0408	San Jose sparkles with Cordon Negro
SLA3294	A Quick Six.   All you want today.
SLA3194	After all, Californians need their space
SLA1441	Tilford Travel
SLA3761	Express Photo, One hour processing
SLB4540-SLB4541	Untitled presentation
SLA0953	FLEX, the secret's in every bottle
SLM0352	It May Be a Little House But the Captive Amenities -
SLM0245	XXXIV Barcelona Mustermesse
SLA0167	6 non stops-coast to coast
SLA0479	A Decision That Will Stand For A Lifetime
SLB4375	Untitled presentation
SLA1070	Revolucionaries
SLA2249	Build it right! Lowe's
SLA2830	Ole's the biggest name in savings
SLA2316	Astroworld....I say, I say, haul on in!
SLA3346	Partridge in a Fleetwood
SLA0575	Horseplay after dark! Freestate Raceway
SLA3029	We can connect you now
SLM0204	Parma 15. Festival Internazionale del Teatro Universitario
SLB3901	Untitled presentation
SLA1295	Louisville Thunder
SLA2016	it's the place!
SLA3088	Roy Rogers
SLA3028	Feel better about your heating bills
SLB3986-SLB3992	Untitled presentation
SLA2763	Cut Corners without cutting coverage
SLB4425-SLB4426	Untitled presentation
SLA3092	Frazier's Steak & Lobster
SLA2157	Designed with your family in mind
SLA0780	The TransActbank. Now at Town Plaza Mall.
SLB4635	Untitled presentation
SLA2318	A Rare Tweet.  Visit the San Diego Zoo
SLA0262	Highest trade-ins on any old junk
SLA0431	Sally & 63 WPRO the all American team
SLA2843	Spring Air at Robinson's
SLA2961	Watch what you put in your ears.
SLA0739	Beauty by Duron Paints
SLA2617	Barron of Danvers 30 seconds ahead
SLA3242	Gorin, Gorin, Gone.
SLA0690	At least he's taken his Haliborange.
SLA1862	When seconds count, you can count on us.
SLB5865	Untitled Presentation
SLB3906	Untitled presentation
SLA1224	The excitement runs deep
SLB5314	Untitled Presentation
SLB4279	Untitled presentation
SLA2118	Viatja a l'illa verda i salvatge.
SLA0671	How do I ---- thee, let me count the ways
SLA3650	Shop in the Park Oct. 17
SLB5469	Untitled Presentation
SLB4062	Untitled presentation
SLM0422	Film Produkcii Czechoslowackiej
SLA0695	No interest in your checking? Time for a Commercial break.  Commercial National Bank
SLA3791	Live Will Within Your Means
SLA3690	Works Like Cash at Exxon
SLA1291	Rodeo,  Bustin Loose
SLA3585	Donauinselfest
SLB0572-SLB0606	Profiles of Outdoor Advertising Readers (Outdoor Advertising Incorporated [OAI])
SLB5279	Untitled Presentation
SLM0481	Erstklassig Münchner Cafe und Conditorei
SLA3554	Jantzen at Robinson's
SLA3285	Get Fresh!
SLA2641	Custom Canvas Awning Inc.
SLA2133	When you're hungry you can't go past Denny's.
SLA1745	Nature's best... Nature's Harvest
SLB5508	Untitled Presentation
SLB5888	Untitled Presentation
SLB4288	Untitled presentation
SLA1592	It could be you!  Judge's Ford
SLA0317	Rallye
SLA1532	Counter  In-furrow.  Put your money where your crop is.
SLA3231	David Hunter at Robinson's
SLA1655	Look into Anderson Windows first, Brownsburg Lumber
SLA0488	Le Cafe Musee.  The JB Speed Art Museum
SLE0124	Untitled
SLA1050	A Golden taste above the rest
SLA0655	Short drive to the Newporter
SLB3631-SLB3648	Untitled presentation
SLA3277	Even commercials are better on a Zenith
SLB5354-SLB5355	Untitled Presentation
SLB5558	Untitled Presentation
SLM0260	Teknik och vetande
SLB5528	Untitled Presentation
SLB3993-SLB3999	Untitled presentation
SLA0894	Closer than you think
SLB5439-SLB5440	Untitled Presentation
SLA2992	If you need cocaine, call us.
SLA0895	Strictly business
SLA2588	Red Alert
SLA3862	KNBR Welcomes back the Cable Cars
SLB5248	Untitled Presentation
SLB5726	Untitled Presentation
SLA0816	The world's greatest zoo is right under you nose, San Diego Zoo
SLA1459	Low Fares are a Snap
SLA1086	The Savage Tan
SLA2826	Sitting pretty in Lumber City
SLA1819	Missing Children
SLB5363-SLB5383	Untitled Presentation
SLM0336	Moenjo-Daro 4000 Years Old, Pakistan
SLA1901	Gas costs less than electricity.
SLA2426	Hardees bacon cheeseburger
SLA3567	Light up your life in Lumber City
SLM0547	fons Jansen 3x andermaal
SLB5396	Untitled Presentation
SLA0582	The Big Boy Combo now playing $1.99
SLA0001	For a whale of a deal
SLA3670	Rare-izona   Arizona.  An hour away from now.
SLA2586	The wheat brewed beer straight from the hearland
SLA3901	San Gabriel Valley, The best of the Rockies is yours
SLA2593	Meet the Premier of Japan
SLA1906	...r 2 Much.  AT Long
SLA2262	Float through the winter.  Fly Ozark to Florida
SLB4004	Untitled presentation
SLM0113	Von Dürer bis Picasso
SLA0622	Fourplay suits your needs
SLB6056	Untitled Presentation
SLA3502	Looks like perfect weather for Amtrak's San Joaquin!
SLA2447	Skin by Merle Norman
SLM0504	Kesäinen Anna on iloinen ystävänne
SLB5213-SLB5215	Untitled Presentation
SLA0296	With Paramount Vodka...anything goes
SLA1956	Is Your Woofer Eating Your Tweeter?
SLA1518	Believe It!
SLA1437	DELTA to Los Angeles, San Francisco
SLA0898	Hudson Goodman
SLM0571	New Zealand
SLA2158	A place to remember
SLA2981	24 reasons to visit, Thornton Chiropractic
SLA1414	Salem Spirit
SLA0435	The hottest hits
SLB5127	Untitled Presentation
SLA1522	How to judge a book by its cover.
SLM0328	Salons d'Exposition Permanente
SLA3530	Miro Miro on the wall
SLA1275	You're in clover... play in New Jersey
SLM0219	España
SLA3913	Canon PC, Personal Cartridge Copying, Plain and Simple.
SLA1349	Untitled
SLA3597	Guiness. Pure Genuis
SLA3912	Inacomp Computer Centers, We're minding your own business...
SLA2120	Sikamaista  Muita Kohtaan
SLB5853-SLB5856	Untitled Presentation
SLA2812	Waist reduction, New 1/4'' trim, Kroger
SLA2140	le Covoiturage au Club Med
SLB5994	Untitled Presentation
SLA2060	California  Delta gets you there
SLB5639-SLB5641	Untitled Presentation
SLB5326	Untitled
SLA0660	Queensland's most popular ski resort
SLA1560	1986 Cadillac Eldorado
SLB5654	Untitled Presentation
SLA1885	Next break...see us
SLB5586	Untitled Presentation
SLM0524	Moscow Olympics 1980
SLB5237	Untitled Presentation
SLA1153	Traveler's check, KFWB All news 98
SLA0093	100 Pipers from Scotland
SLA3775	Getting there is a snap
SLA2941	Explore Blank Park Zoo
SLA0916	Look for the Star! Starter
SLA1405	Come to wear the flavor is
SLA3941	See us if you tumble off the bed
SLA0065	Who repairs roofs? Let you fingers do the walking
SLA3956	Shop here.  Park free.
SLA0116	Cordic...mornings on KNX radio
SLA3215	Means business six days a week
SLE0018	Untitled
SLA2078	Louisiana
SLA2468X	Untitled
SLM0555	Vallänkayttö ja vastuu
SLB4356-SLB4365	Untitled presentation
SLA3134	On of our exhibits is loose
SLA0785	24-Hour Mechanics.
SLA3698	USA loves T/A
SLA0118	''Thank You...U.S. Fighting Men In Vietnam...''
SLA1744	Top heavy. Tony's
SLA1585	Less fueling around
SLA2967	I need an hour or two of you.  Give yourself Dec. 6th
SLA1567	Expand your horizons. Bethlehem 72' EG Steel.
SLA1025	Buisness Advantage! Sacramento First National Bank
SLM0290	Deutschland Ruft!
SLA1487	Just a bit further
SLB3902	Untitled presentation
SLM0123	Pan American World's Most Experienced Airline
SLA0886	We'll put together a system that satisfies you. Computer Land
SLA1394	We'll save you some time
SLA1895	Gather some intelligence: 1-967-4CIA
SLB5112	Untitled Presentation
SLA1783	You'll respect us in the morning.
SLA1902	Subscribe to The Disney Channel.
SLM0053	Untitled
SLA1334	Bobs
SLB5505	Untitled Presentation
SLA1785	Hard-hitting drama.
SLA1142	If Goddard says so, it'll fly
SLA2300	California Classic 60's Hits
SLA2508	Call your mate when you're running late.
SLA3375	Thrill
SLA2649	Best Seller
SLE0021	Pay as You Go Through the Bank You Know!
SLA3733	Ford Taurus
SLB5485	Untitled Presentation
SLM0043	John Nash
SLM0552	auto urheilu kesä
SLA0910	Helzbuerg
SLM0280	Bern Loetschberg Simplon Bahn
SLA3902	Polo Ralph Lauren Mister Guy
SLA2309	PenSupreme grocerette open 24 hours
SLA2177	Dining with treasure
SLA1118	Stanley Steamer, let us Deep Clean your carpet
SLA3686	CANOE
SLB5395	Untitled Presentation
SLA1921	Fly Princeton.
SLA3370	Meet one of San Diegos Most Prominent Citizens
SLA3732	Del Mar. If you miss it you lose.
SLA0970	Patriot Banks
SLB4677	Untitled presentation
SLA2924	Wise Men Don't Drink and Drive
SLM0549	Katoen
SLA1535	Red traditionally stands out.
SLB5358-SLB5359	Untitled Presentation
SLA1946	From Mice to Men.
